index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/15 14:34:26.063, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:34:36.087, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:34:46.088, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:34:56.088, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:35:06.091, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:35:16.092, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:35:26.092, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:35:36.094, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:35:46.096, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:35:56.097, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:36:06.098, 6 %, 32768 MiB, 28443 MiB, 4058 MiB
0, 2024/05/15 14:36:16.100, 0 %, 32768 MiB, 26763 MiB, 5738 MiB
0, 2024/05/15 14:36:26.101, 6 %, 32768 MiB, 23823 MiB, 8678 MiB
0, 2024/05/15 14:36:36.103, 4 %, 32768 MiB, 21947 MiB, 10554 MiB
0, 2024/05/15 14:36:46.104, 6 %, 32768 MiB, 18363 MiB, 14138 MiB
0, 2024/05/15 14:36:56.106, 0 %, 32768 MiB, 16653 MiB, 15848 MiB
0, 2024/05/15 14:37:06.107, 100 %, 32768 MiB, 14255 MiB, 18246 MiB
0, 2024/05/15 14:37:16.110, 100 %, 32768 MiB, 11353 MiB, 21148 MiB
0, 2024/05/15 14:37:26.112, 100 %, 32768 MiB, 11353 MiB, 21148 MiB
0, 2024/05/15 14:37:36.113, 100 %, 32768 MiB, 11353 MiB, 21148 MiB
0, 2024/05/15 14:37:46.115, 96 %, 32768 MiB, 11353 MiB, 21148 MiB
0, 2024/05/15 14:37:56.116, 100 %, 32768 MiB, 11353 MiB, 21148 MiB
0, 2024/05/15 14:38:06.118, 100 %, 32768 MiB, 11353 MiB, 21148 MiB
0, 2024/05/15 14:38:16.119, 100 %, 32768 MiB, 11353 MiB, 21148 MiB
0, 2024/05/15 14:38:26.121, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:38:36.122, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
