index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/15 14:42:03.237, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:42:13.257, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:42:23.260, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:42:33.261, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:42:43.262, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:42:53.263, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:43:03.264, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:43:13.265, 0 %, 32768 MiB, 29283 MiB, 3218 MiB
0, 2024/05/15 14:43:23.266, 0 %, 32768 MiB, 27407 MiB, 5094 MiB
0, 2024/05/15 14:43:33.266, 6 %, 32768 MiB, 24243 MiB, 8258 MiB
0, 2024/05/15 14:43:43.267, 6 %, 32768 MiB, 22255 MiB, 10246 MiB
0, 2024/05/15 14:43:53.268, 0 %, 32768 MiB, 19315 MiB, 13186 MiB
0, 2024/05/15 14:44:03.269, 0 %, 32768 MiB, 16655 MiB, 15846 MiB
0, 2024/05/15 14:44:13.270, 95 %, 32768 MiB, 14283 MiB, 18218 MiB
0, 2024/05/15 14:44:23.271, 95 %, 32768 MiB, 11363 MiB, 21138 MiB
0, 2024/05/15 14:44:33.272, 95 %, 32768 MiB, 11353 MiB, 21148 MiB
0, 2024/05/15 14:44:43.273, 100 %, 32768 MiB, 11353 MiB, 21148 MiB
0, 2024/05/15 14:44:53.274, 100 %, 32768 MiB, 11353 MiB, 21148 MiB
0, 2024/05/15 14:45:03.275, 100 %, 32768 MiB, 11353 MiB, 21148 MiB
0, 2024/05/15 14:45:13.277, 100 %, 32768 MiB, 11353 MiB, 21148 MiB
0, 2024/05/15 14:45:23.278, 95 %, 32768 MiB, 11353 MiB, 21148 MiB
0, 2024/05/15 14:45:33.279, 95 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:45:43.280, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:45:53.282, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:46:03.283, 95 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:46:13.284, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:46:23.285, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:46:33.286, 95 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:46:43.287, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:46:53.288, 94 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:47:03.289, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:47:13.290, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:47:23.291, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:47:33.292, 96 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:47:43.293, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:47:53.294, 94 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:48:03.295, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:48:13.296, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:48:23.296, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:48:33.297, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:48:43.298, 97 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:48:53.299, 100 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:49:03.300, 95 %, 32768 MiB, 11351 MiB, 21150 MiB
0, 2024/05/15 14:49:13.301, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:49:23.302, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:49:33.303, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:49:43.304, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:49:53.305, 88 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:50:03.306, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:50:13.306, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:50:23.307, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:50:33.308, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:50:43.314, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:50:53.315, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:51:03.316, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:51:13.317, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:51:23.325, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:51:33.326, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:51:43.331, 91 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:51:53.332, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:52:03.333, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:52:13.333, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:52:23.334, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:52:33.336, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:52:43.336, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:52:53.337, 98 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:53:03.338, 90 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:53:13.339, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:53:23.340, 94 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:53:33.341, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:53:43.342, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:53:53.343, 94 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:54:03.344, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:54:13.345, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:54:23.346, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:54:33.347, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:54:43.348, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:54:53.349, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:55:03.350, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:55:13.351, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:55:23.352, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:55:33.353, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:55:43.354, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:55:53.355, 94 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:56:03.356, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:56:13.357, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:56:23.358, 94 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:56:33.359, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:56:43.359, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:56:53.360, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:57:03.361, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:57:13.362, 90 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:57:23.363, 97 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:57:33.364, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:57:43.365, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:57:53.366, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:58:03.367, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:58:13.368, 98 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:58:23.369, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:58:33.370, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:58:43.383, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:58:53.384, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:59:03.385, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:59:13.386, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:59:23.387, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:59:33.388, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:59:43.389, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 14:59:53.390, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:00:03.391, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:00:13.392, 94 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:00:23.393, 98 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:00:33.393, 94 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:00:43.394, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:00:53.395, 94 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:01:03.396, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:01:13.397, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:01:23.398, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:01:33.399, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:01:43.400, 94 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:01:53.401, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:02:03.402, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:02:13.403, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:02:23.404, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:02:33.404, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:02:43.405, 95 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:02:53.406, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:03:03.408, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:03:13.408, 100 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:03:23.409, 99 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:03:33.410, 0 %, 32768 MiB, 11343 MiB, 21158 MiB
0, 2024/05/15 15:03:43.411, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 15:03:53.412, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 15:04:03.413, 0 %, 32768 MiB, 32501 MiB, 0 MiB
