index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/15 14:37:37.767, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:37:47.797, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:37:57.800, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:38:07.802, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:38:17.802, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:38:27.804, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:38:37.804, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:38:47.805, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:38:57.807, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:39:07.812, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:39:17.813, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:39:27.814, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:39:37.815, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:39:47.816, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:39:57.818, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:40:07.819, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:40:17.820, 0 %, 32768 MiB, 24111 MiB, 8390 MiB
0, 2024/05/15 14:40:27.824, 0 %, 32768 MiB, 20043 MiB, 12458 MiB
0, 2024/05/15 14:40:37.825, 0 %, 32768 MiB, 17859 MiB, 14642 MiB
0, 2024/05/15 14:40:47.827, 0 %, 32768 MiB, 11633 MiB, 20868 MiB
0, 2024/05/15 14:40:57.828, 97 %, 32768 MiB, 12639 MiB, 19862 MiB
0, 2024/05/15 14:41:07.831, 98 %, 32768 MiB, 12571 MiB, 19930 MiB
0, 2024/05/15 14:41:17.833, 98 %, 32768 MiB, 11093 MiB, 21408 MiB
0, 2024/05/15 14:41:27.834, 99 %, 32768 MiB, 12439 MiB, 20062 MiB
0, 2024/05/15 14:41:37.835, 98 %, 32768 MiB, 11931 MiB, 20570 MiB
0, 2024/05/15 14:41:47.837, 96 %, 32768 MiB, 12433 MiB, 20068 MiB
0, 2024/05/15 14:41:57.838, 100 %, 32768 MiB, 11135 MiB, 21366 MiB
0, 2024/05/15 14:42:07.840, 96 %, 32768 MiB, 10317 MiB, 22184 MiB
0, 2024/05/15 14:42:17.840, 100 %, 32768 MiB, 10645 MiB, 21856 MiB
0, 2024/05/15 14:42:27.842, 97 %, 32768 MiB, 12057 MiB, 20444 MiB
0, 2024/05/15 14:42:37.843, 99 %, 32768 MiB, 11819 MiB, 20682 MiB
0, 2024/05/15 14:42:47.845, 98 %, 32768 MiB, 12345 MiB, 20156 MiB
0, 2024/05/15 14:42:57.846, 100 %, 32768 MiB, 10569 MiB, 21932 MiB
0, 2024/05/15 14:43:07.848, 98 %, 32768 MiB, 12015 MiB, 20486 MiB
0, 2024/05/15 14:43:17.849, 98 %, 32768 MiB, 13783 MiB, 18718 MiB
0, 2024/05/15 14:43:27.850, 96 %, 32768 MiB, 12733 MiB, 19768 MiB
0, 2024/05/15 14:43:37.852, 98 %, 32768 MiB, 10991 MiB, 21510 MiB
0, 2024/05/15 14:43:47.853, 98 %, 32768 MiB, 11431 MiB, 21070 MiB
0, 2024/05/15 14:43:57.855, 100 %, 32768 MiB, 12193 MiB, 20308 MiB
0, 2024/05/15 14:44:07.856, 95 %, 32768 MiB, 10027 MiB, 22474 MiB
0, 2024/05/15 14:44:17.857, 98 %, 32768 MiB, 11113 MiB, 21388 MiB
0, 2024/05/15 14:44:27.859, 100 %, 32768 MiB, 11717 MiB, 20784 MiB
0, 2024/05/15 14:44:37.860, 98 %, 32768 MiB, 13017 MiB, 19484 MiB
0, 2024/05/15 14:44:47.862, 99 %, 32768 MiB, 13237 MiB, 19264 MiB
0, 2024/05/15 14:44:57.863, 98 %, 32768 MiB, 12351 MiB, 20150 MiB
0, 2024/05/15 14:45:07.865, 97 %, 32768 MiB, 10655 MiB, 21846 MiB
0, 2024/05/15 14:45:17.866, 98 %, 32768 MiB, 11919 MiB, 20582 MiB
0, 2024/05/15 14:45:27.867, 98 %, 32768 MiB, 11273 MiB, 21228 MiB
0, 2024/05/15 14:45:37.869, 98 %, 32768 MiB, 11199 MiB, 21302 MiB
0, 2024/05/15 14:45:47.870, 98 %, 32768 MiB, 11747 MiB, 20754 MiB
0, 2024/05/15 14:45:57.871, 100 %, 32768 MiB, 12633 MiB, 19868 MiB
0, 2024/05/15 14:46:07.873, 98 %, 32768 MiB, 11591 MiB, 20910 MiB
0, 2024/05/15 14:46:17.876, 100 %, 32768 MiB, 11139 MiB, 21362 MiB
0, 2024/05/15 14:46:27.877, 96 %, 32768 MiB, 9997 MiB, 22504 MiB
0, 2024/05/15 14:46:37.879, 99 %, 32768 MiB, 13035 MiB, 19466 MiB
0, 2024/05/15 14:46:47.880, 100 %, 32768 MiB, 12331 MiB, 20170 MiB
0, 2024/05/15 14:46:57.882, 100 %, 32768 MiB, 11947 MiB, 20554 MiB
0, 2024/05/15 14:47:07.884, 100 %, 32768 MiB, 12723 MiB, 19778 MiB
0, 2024/05/15 14:47:17.885, 97 %, 32768 MiB, 11179 MiB, 21322 MiB
0, 2024/05/15 14:47:27.891, 98 %, 32768 MiB, 12305 MiB, 20196 MiB
0, 2024/05/15 14:47:37.892, 98 %, 32768 MiB, 11931 MiB, 20570 MiB
0, 2024/05/15 14:47:47.893, 96 %, 32768 MiB, 12149 MiB, 20352 MiB
0, 2024/05/15 14:47:57.895, 37 %, 32768 MiB, 13035 MiB, 19466 MiB
0, 2024/05/15 14:48:07.899, 98 %, 32768 MiB, 12623 MiB, 19878 MiB
0, 2024/05/15 14:48:17.901, 99 %, 32768 MiB, 13229 MiB, 19272 MiB
0, 2024/05/15 14:48:27.904, 100 %, 32768 MiB, 12221 MiB, 20280 MiB
0, 2024/05/15 14:48:37.906, 98 %, 32768 MiB, 12089 MiB, 20412 MiB
0, 2024/05/15 14:48:47.907, 100 %, 32768 MiB, 11045 MiB, 21456 MiB
0, 2024/05/15 14:48:57.935, 98 %, 32768 MiB, 11057 MiB, 21444 MiB
0, 2024/05/15 14:49:07.936, 0 %, 32768 MiB, 13707 MiB, 18794 MiB
0, 2024/05/15 14:49:17.938, 5 %, 32768 MiB, 13707 MiB, 18794 MiB
0, 2024/05/15 14:49:27.939, 4 %, 32768 MiB, 13707 MiB, 18794 MiB
0, 2024/05/15 14:49:37.941, 0 %, 32768 MiB, 13707 MiB, 18794 MiB
0, 2024/05/15 14:49:47.943, 93 %, 32768 MiB, 8171 MiB, 24330 MiB
0, 2024/05/15 14:49:57.944, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:50:07.945, 0 %, 32768 MiB, 32501 MiB, 0 MiB
