index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/14 03:00:37.983, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:00:47.984, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:00:57.986, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:01:07.988, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:01:17.991, 0 %, 32768 MiB, 32497 MiB, 3 MiB
0, 2024/05/14 03:01:27.993, 0 %, 32768 MiB, 32497 MiB, 3 MiB
0, 2024/05/14 03:01:37.995, 0 %, 32768 MiB, 30313 MiB, 2187 MiB
0, 2024/05/14 03:01:47.997, 0 %, 32768 MiB, 28409 MiB, 4091 MiB
0, 2024/05/14 03:01:57.999, 0 %, 32768 MiB, 26533 MiB, 5967 MiB
0, 2024/05/14 03:02:08.001, 0 %, 32768 MiB, 24629 MiB, 7871 MiB
0, 2024/05/14 03:02:18.003, 0 %, 32768 MiB, 22753 MiB, 9747 MiB
0, 2024/05/14 03:02:28.005, 0 %, 32768 MiB, 20849 MiB, 11651 MiB
0, 2024/05/14 03:02:38.007, 0 %, 32768 MiB, 18973 MiB, 13527 MiB
0, 2024/05/14 03:02:48.009, 0 %, 32768 MiB, 17069 MiB, 15431 MiB
0, 2024/05/14 03:02:58.011, 0 %, 32768 MiB, 14387 MiB, 18113 MiB
0, 2024/05/14 03:03:08.013, 0 %, 32768 MiB, 9279 MiB, 23221 MiB
0, 2024/05/14 03:03:18.015, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:03:28.017, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:03:38.019, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:03:48.021, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:03:58.022, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:04:08.024, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:04:18.026, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:04:28.028, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:04:38.029, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:04:48.030, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:04:58.031, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:05:08.032, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:05:18.034, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:05:28.035, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:05:38.036, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:05:48.037, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:05:58.038, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:06:08.041, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:06:18.042, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:06:28.043, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:06:38.044, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:06:48.045, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:06:58.047, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:07:08.048, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:07:18.049, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:07:28.050, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:07:38.052, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:07:48.054, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:07:58.055, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:08:08.056, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:08:18.058, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:08:28.061, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:08:38.062, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:08:48.063, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:08:58.064, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:09:08.066, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:09:18.067, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:09:28.068, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:09:38.069, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:09:48.070, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:09:58.072, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:10:08.073, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:10:18.074, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:10:28.075, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:10:38.076, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:10:48.078, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:10:58.079, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:11:08.080, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:11:18.081, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:11:28.083, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:11:38.085, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:11:48.088, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:11:58.090, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:12:08.092, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:12:18.094, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:12:28.096, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:12:38.098, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:12:48.100, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/14 03:12:58.103, 0 %, 32768 MiB, 32501 MiB, 0 MiB
