index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 17:01:18.517, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:01:28.518, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:01:38.519, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 17:01:48.519, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 17:01:58.521, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:02:08.522, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:02:18.522, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:02:28.524, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:02:38.524, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:02:48.525, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:02:58.526, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:03:08.527, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:03:18.528, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:03:28.528, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:03:38.529, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:03:48.533, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:03:58.533, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:04:08.535, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:04:18.535, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:04:28.536, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:04:38.537, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:04:48.538, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:04:58.539, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:05:08.540, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:05:18.541, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:05:28.542, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:05:38.543, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:05:48.543, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:05:58.544, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:06:08.545, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 17:06:18.546, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:06:28.547, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:06:38.548, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:06:48.549, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:06:58.550, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:07:08.551, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:07:18.551, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:07:28.552, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:07:38.553, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:07:48.554, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:07:58.555, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:08:08.556, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:08:18.557, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:08:28.558, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:08:38.558, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:08:48.559, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:08:58.560, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:09:08.561, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:09:18.562, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:09:28.563, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:09:38.564, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:09:48.565, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:09:58.566, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:10:08.567, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:10:18.568, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:10:28.569, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:10:38.569, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:10:48.571, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:10:58.572, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:11:08.573, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:11:18.573, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:11:28.574, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:11:38.586, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:11:48.586, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:11:58.591, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:12:08.592, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:12:18.593, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:12:28.594, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:12:38.595, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:12:48.596, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:12:58.596, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:13:08.597, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:13:18.598, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:13:28.602, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:13:38.603, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:13:48.603, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:13:58.604, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:14:08.605, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:14:18.606, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:14:28.607, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:14:38.607, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:14:48.608, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:14:58.609, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:15:08.610, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:15:18.611, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:15:28.611, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 17:15:38.613, 10 %, 32768 MiB, 26763 MiB, 5738 MiB
0, 2024/05/13 17:15:48.616, 6 %, 32768 MiB, 14741 MiB, 17760 MiB
0, 2024/05/13 17:15:58.620, 0 %, 32768 MiB, 32501 MiB, 0 MiB
