0, 2024/05/13 17:35:28.736, 8 %, 32768 MiB, 21527 MiB, 10974 MiB
0, 2024/05/13 17:35:38.737, 92 %, 32768 MiB, 15905 MiB, 16596 MiB
0, 2024/05/13 17:35:48.739, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 17:35:58.740, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 17:36:08.741, 10 %, 32768 MiB, 24951 MiB, 7550 MiB
0, 2024/05/13 17:36:18.742, 100 %, 32768 MiB, 15239 MiB, 17262 MiB
0, 2024/05/13 17:36:28.744, 97 %, 32768 MiB, 11131 MiB, 21370 MiB
0, 2024/05/13 17:36:38.745, 100 %, 32768 MiB, 11117 MiB, 21384 MiB
0, 2024/05/13 17:36:48.747, 95 %, 32768 MiB, 11103 MiB, 21398 MiB
0, 2024/05/13 17:36:58.748, 96 %, 32768 MiB, 11103 MiB, 21398 MiB
0, 2024/05/13 17:37:08.749, 100 %, 32768 MiB, 11091 MiB, 21410 MiB
0, 2024/05/13 17:37:18.751, 100 %, 32768 MiB, 11091 MiB, 21410 MiB
0, 2024/05/13 17:37:28.752, 99 %, 32768 MiB, 11091 MiB, 21410 MiB
0, 2024/05/13 17:37:38.754, 96 %, 32768 MiB, 11091 MiB, 21410 MiB
0, 2024/05/13 17:37:48.755, 97 %, 32768 MiB, 11091 MiB, 21410 MiB
0, 2024/05/13 17:37:58.757, 100 %, 32768 MiB, 11091 MiB, 21410 MiB
0, 2024/05/13 17:38:08.758, 96 %, 32768 MiB, 11091 MiB, 21410 MiB
0, 2024/05/13 17:38:18.762, 100 %, 32768 MiB, 11091 MiB, 21410 MiB
0, 2024/05/13 17:38:28.764, 100 %, 32768 MiB, 11091 MiB, 21410 MiB
0, 2024/05/13 17:38:38.765, 100 %, 32768 MiB, 11091 MiB, 21410 MiB
0, 2024/05/13 17:38:48.780, 97 %, 32768 MiB, 11091 MiB, 21410 MiB
0, 2024/05/13 17:38:58.781, 98 %, 32768 MiB, 11091 MiB, 21410 MiB
