index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/13 16:44:25.932, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:44:36.205, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:44:46.206, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:44:56.207, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 16:45:06.208, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 16:45:16.209, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 16:45:26.210, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 16:45:36.211, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 16:45:46.212, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:45:56.213, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:46:06.214, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:46:16.215, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:46:26.216, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:46:36.216, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:46:46.217, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:46:56.218, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:47:06.219, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:47:16.220, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:47:26.221, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/13 16:47:36.221, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 16:47:46.222, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/13 16:47:56.223, 7 %, 32768 MiB, 30647 MiB, 1854 MiB
0, 2024/05/13 16:48:06.225, 0 %, 32768 MiB, 30131 MiB, 2370 MiB
0, 2024/05/13 16:48:16.228, 7 %, 32768 MiB, 29545 MiB, 2956 MiB
0, 2024/05/13 16:48:26.230, 0 %, 32768 MiB, 28881 MiB, 3620 MiB
0, 2024/05/13 16:48:36.232, 6 %, 32768 MiB, 28365 MiB, 4136 MiB
0, 2024/05/13 16:48:46.233, 0 %, 32768 MiB, 27607 MiB, 4894 MiB
0, 2024/05/13 16:48:56.234, 0 %, 32768 MiB, 25719 MiB, 6782 MiB
0, 2024/05/13 16:49:06.236, 100 %, 32768 MiB, 22439 MiB, 10062 MiB
0, 2024/05/13 16:49:16.239, 95 %, 32768 MiB, 20899 MiB, 11602 MiB
0, 2024/05/13 16:49:26.241, 100 %, 32768 MiB, 20899 MiB, 11602 MiB
