index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/15 14:39:48.385, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:39:58.449, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:40:08.450, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:40:18.451, 0 %, 32768 MiB, 24047 MiB, 8454 MiB
0, 2024/05/15 14:40:28.453, 6 %, 32768 MiB, 19735 MiB, 12766 MiB
0, 2024/05/15 14:40:38.453, 0 %, 32768 MiB, 16857 MiB, 15644 MiB
0, 2024/05/15 14:40:48.457, 28 %, 32768 MiB, 13219 MiB, 19282 MiB
0, 2024/05/15 14:40:58.458, 96 %, 32768 MiB, 12635 MiB, 19866 MiB
0, 2024/05/15 14:41:08.462, 98 %, 32768 MiB, 11419 MiB, 21082 MiB
0, 2024/05/15 14:41:18.465, 98 %, 32768 MiB, 11881 MiB, 20620 MiB
0, 2024/05/15 14:41:28.467, 98 %, 32768 MiB, 10169 MiB, 22332 MiB
0, 2024/05/15 14:41:38.468, 98 %, 32768 MiB, 10425 MiB, 22076 MiB
0, 2024/05/15 14:41:48.470, 85 %, 32768 MiB, 13083 MiB, 19418 MiB
0, 2024/05/15 14:41:58.475, 98 %, 32768 MiB, 12465 MiB, 20036 MiB
0, 2024/05/15 14:42:08.480, 98 %, 32768 MiB, 12143 MiB, 20358 MiB
0, 2024/05/15 14:42:18.485, 98 %, 32768 MiB, 12945 MiB, 19556 MiB
0, 2024/05/15 14:42:28.486, 97 %, 32768 MiB, 12047 MiB, 20454 MiB
0, 2024/05/15 14:42:38.488, 100 %, 32768 MiB, 10449 MiB, 22052 MiB
0, 2024/05/15 14:42:48.489, 100 %, 32768 MiB, 12345 MiB, 20156 MiB
0, 2024/05/15 14:42:58.490, 96 %, 32768 MiB, 13333 MiB, 19168 MiB
0, 2024/05/15 14:43:08.492, 98 %, 32768 MiB, 11973 MiB, 20528 MiB
0, 2024/05/15 14:43:18.493, 100 %, 32768 MiB, 11091 MiB, 21410 MiB
0, 2024/05/15 14:43:28.495, 100 %, 32768 MiB, 11227 MiB, 21274 MiB
0, 2024/05/15 14:43:38.496, 98 %, 32768 MiB, 10979 MiB, 21522 MiB
0, 2024/05/15 14:43:48.497, 100 %, 32768 MiB, 10045 MiB, 22456 MiB
0, 2024/05/15 14:43:58.499, 96 %, 32768 MiB, 11815 MiB, 20686 MiB
0, 2024/05/15 14:44:08.500, 98 %, 32768 MiB, 10025 MiB, 22476 MiB
