index, timestamp, utilization.gpu [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2024/05/15 14:35:39.765, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:35:49.880, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:35:59.882, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:36:09.883, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:36:19.884, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:36:29.885, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:36:39.886, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:36:49.886, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:36:59.887, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:37:09.888, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:37:19.889, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:37:29.890, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:37:39.891, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:37:49.891, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:37:59.892, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:38:09.893, 0 %, 32768 MiB, 32501 MiB, 0 MiB
0, 2024/05/15 14:38:19.894, 0 %, 32768 MiB, 32497 MiB, 4 MiB
0, 2024/05/15 14:38:29.894, 0 %, 32768 MiB, 30969 MiB, 1532 MiB
0, 2024/05/15 14:38:39.895, 13 %, 32768 MiB, 30159 MiB, 2342 MiB
0, 2024/05/15 14:38:49.896, 12 %, 32768 MiB, 27607 MiB, 4894 MiB
0, 2024/05/15 14:38:59.897, 100 %, 32768 MiB, 24183 MiB, 8318 MiB
0, 2024/05/15 14:39:09.898, 95 %, 32768 MiB, 24129 MiB, 8372 MiB
0, 2024/05/15 14:39:19.899, 100 %, 32768 MiB, 21237 MiB, 11264 MiB
0, 2024/05/15 14:39:29.899, 96 %, 32768 MiB, 21227 MiB, 11274 MiB
0, 2024/05/15 14:39:39.900, 100 %, 32768 MiB, 21227 MiB, 11274 MiB
0, 2024/05/15 14:39:49.901, 100 %, 32768 MiB, 21227 MiB, 11274 MiB
0, 2024/05/15 14:39:59.902, 100 %, 32768 MiB, 21227 MiB, 11274 MiB
0, 2024/05/15 14:40:09.903, 100 %, 32768 MiB, 21227 MiB, 11274 MiB
0, 2024/05/15 14:40:19.904, 96 %, 32768 MiB, 21227 MiB, 11274 MiB
0, 2024/05/15 14:40:29.905, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:40:39.906, 96 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:40:49.907, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:40:59.908, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:41:09.909, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:41:19.909, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:41:29.910, 95 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:41:39.911, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:41:49.912, 96 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:41:59.912, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:42:09.913, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:42:19.914, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:42:29.915, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:42:39.916, 96 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:42:49.916, 96 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:42:59.917, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:43:09.918, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:43:19.919, 96 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:43:29.920, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:43:39.921, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:43:49.921, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:43:59.922, 95 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:44:09.923, 96 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:44:19.924, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:44:29.925, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:44:39.925, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:44:49.926, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:44:59.927, 96 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:45:09.928, 100 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:45:19.929, 96 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:45:29.934, 95 %, 32768 MiB, 21223 MiB, 11278 MiB
0, 2024/05/15 14:45:39.934, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:45:49.936, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:45:59.937, 92 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:46:09.938, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:46:19.939, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:46:29.940, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:46:39.940, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:46:49.941, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:46:59.942, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:47:09.943, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:47:19.944, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:47:29.945, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:47:39.945, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:47:49.946, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:47:59.948, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:48:09.949, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:48:19.949, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:48:29.950, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:48:39.951, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:48:49.952, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:48:59.953, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:49:09.953, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:49:19.954, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:49:29.955, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:49:39.956, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:49:49.958, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:49:59.959, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:50:09.960, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:50:19.960, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:50:29.964, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:50:39.966, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:50:49.967, 92 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:50:59.967, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:51:09.968, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:51:19.969, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:51:29.970, 97 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:51:39.971, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:51:49.971, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:51:59.972, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:52:09.973, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:52:19.974, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:52:29.975, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:52:39.975, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:52:49.976, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:52:59.977, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:53:09.978, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:53:19.979, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:53:29.979, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:53:39.980, 92 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:53:49.981, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:53:59.982, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:54:09.983, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:54:19.983, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:54:29.984, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:54:39.985, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:54:49.986, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:54:59.987, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:55:09.987, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:55:19.988, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:55:29.989, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:55:39.990, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:55:49.991, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:55:59.992, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:56:09.992, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:56:19.993, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:56:29.994, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:56:39.995, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:56:49.996, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:56:59.997, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:57:09.998, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:57:19.998, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:57:29.999, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:57:40.000, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:57:50.001, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:58:00.002, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:58:10.002, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:58:20.003, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:58:30.004, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:58:40.005, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:58:50.006, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:59:00.006, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:59:10.007, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:59:20.008, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:59:30.009, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:59:40.010, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 14:59:50.011, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:00:00.011, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:00:10.012, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:00:20.013, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:00:30.014, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:00:40.015, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:00:50.016, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:01:00.017, 92 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:01:10.017, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:01:20.018, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:01:30.019, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:01:40.020, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:01:50.021, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:02:00.022, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:02:10.023, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:02:20.024, 99 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:02:30.025, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:02:40.026, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:02:50.026, 96 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:03:00.027, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:03:10.028, 95 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:03:20.029, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:03:30.030, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:03:40.030, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:03:50.031, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:04:00.034, 100 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:04:10.034, 98 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:04:20.035, 97 %, 32768 MiB, 21215 MiB, 11286 MiB
0, 2024/05/15 15:04:30.036, 0 %, 32768 MiB, 32501 MiB, 0 MiB
